# Capture Picture flow, flash selection check: app dev after #263 (branch feat/light-sensor-readings b9f2ba56), firmware ae_review ee65771f
# Started 2026-09-03 12:21:41. Times are MM:SS.mmm from the start of the capture.
# himax = COM6 @ 921600 (known adapter FTFAERNNA)
# nrf   = COM5 @ 115200 (known adapter FTH0BZPJA)
#
# Filtered to the lines that carry the story: app writes and receipts, nRF relay, Himax capture, flash, light, sleep and transfer markers. Hex dumps and per-packet chatter removed.
[15:17.083] himax | DEBUG: ledFlashSelectLED(0)
[15:17.686] himax | DEBUG: ledFlashBrightness(95%) [brbits = 0xe]
[15:17.686] himax | DEBUG: ledFlashSelectLED(1)
[15:17.686] himax | [LS] In ledFlashSetFlashModeFromOpParam with 1 Mode 1
[15:17.686] himax |   Flash LED(s) in use: 1
[15:17.686] himax | MKL62BA command received: 'selftest'
[15:17.686] himax | selfTest 0000
[15:17.686] himax | Sending 19 bytes: Header 4, payload 13, checksum 2 'selfTest 0000'
[15:17.686] himax | 000: 80 04 0d 00 73 65 6c 66  54 65 73 74 20 30 30 30 ....selfTest 000
[15:17.874] himax | MKL62BA command received: 'txfile 59200990.JPG'
[15:17.874] himax | 12942 bytes in 59200990.JPG
[15:17.874] himax | Sending 33 bytes: Header 4, payload 27, checksum 2 '12942 bytes in 59200990.JPG'
[15:18.224] nrf   | BLE out: Sent   5 bytes: 'Wake'
[15:18.224] nrf   | <info> app: AI processor replies: '12942 bytes in 59200990.JPG'
[15:18.224] nrf   | BLE out: Sent  28 bytes: '12942 bytes in 59200990.JPG'
[15:18.224] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: 12942 bytes in 59200990.JPG
[15:18.224] app   | [useBleListeners] Detected image transfer start: 59200990.JPG (12942 bytes)
[15:18.225] app   | ImageReassembler: Initializing transfer for 12942 bytes
[15:28.506] himax | Finished sending 12942 bytes (54 packets)
[15:28.506] himax | Sending 47 bytes: Header 4, payload 41, checksum 2 'Finished sending 12942 bytes (54 packets)'
